epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,489.281,1.28095,0.63262,0.80565,0.88086,0.70049,0.77348,0.45745,1.17168,0.57239,0.80386,0.000247625,0.000247625,0.000247625
83,495.664,1.31435,0.64907,0.81266,0.91687,0.70405,0.78038,0.45383,1.16531,0.56214,0.79921,0.00023525,0.00023525,0.00023525
84,501.123,1.2822,0.63592,0.80716,0.904,0.71363,0.78011,0.46113,1.16142,0.56485,0.80008,0.000222875,0.000222875,0.000222875
85,507.378,1.3241,0.64579,0.81037,0.86978,0.72637,0.77496,0.46525,1.15264,0.56269,0.80007,0.0002105,0.0002105,0.0002105
86,513.163,1.26599,0.62847,0.8084,0.87856,0.71793,0.78173,0.46301,1.16967,0.56339,0.79934,0.000198125,0.000198125,0.000198125
87,519.656,1.27251,0.63106,0.80636,0.90648,0.72071,0.77745,0.45302,1.16128,0.56414,0.80136,0.00018575,0.00018575,0.00018575
88,525.138,1.25565,0.6253,0.8113,0.87046,0.73238,0.77469,0.45985,1.16631,0.5658,0.80206,0.000173375,0.000173375,0.000173375
89,531.29,1.23673,0.60295,0.80496,0.883,0.73217,0.77665,0.46196,1.15341,0.55548,0.79967,0.000161,0.000161,0.000161
90,537.178,1.28902,0.62545,0.80507,0.91039,0.71661,0.7855,0.46332,1.15995,0.55651,0.79974,0.000148625,0.000148625,0.000148625
91,545.763,1.12985,0.56856,0.8073,0.91191,0.68727,0.78114,0.46244,1.16791,0.56041,0.80206,0.00013625,0.00013625,0.00013625
92,551.306,1.13529,0.567,0.80848,0.87424,0.69793,0.77587,0.45275,1.1725,0.5675,0.80171,0.000123875,0.000123875,0.000123875
93,557.42,1.12402,0.56055,0.80427,0.86971,0.70785,0.77565,0.45061,1.17259,0.56879,0.80131,0.0001115,0.0001115,0.0001115
94,562.336,1.11758,0.55936,0.80703,0.87769,0.71244,0.77571,0.44893,1.17066,0.56645,0.79961,9.9125e-05,9.9125e-05,9.9125e-05
95,567.69,1.10939,0.55387,0.80542,0.88033,0.7086,0.77869,0.45091,1.16809,0.56341,0.8016,8.675e-05,8.675e-05,8.675e-05
96,573.417,1.10232,0.54646,0.80366,0.89146,0.72199,0.7816,0.4627,1.15837,0.55487,0.79934,7.4375e-05,7.4375e-05,7.4375e-05
97,578.366,1.10626,0.54692,0.80555,0.87853,0.73356,0.7828,0.46467,1.15174,0.55246,0.80114,6.2e-05,6.2e-05,6.2e-05
98,584.18,1.09672,0.5416,0.80473,0.89267,0.71946,0.78378,0.46308,1.15536,0.55476,0.80093,4.9625e-05,4.9625e-05,4.9625e-05
99,589.335,1.10989,0.54636,0.80319,0.89646,0.72227,0.78041,0.46509,1.14526,0.55067,0.80074,3.725e-05,3.725e-05,3.725e-05
100,594.912,1.09833,0.53954,0.80278,0.891,0.72865,0.78006,0.46345,1.14867,0.55012,0.79891,2.4875e-05,2.4875e-05,2.4875e-05
